AS0 [ -Reserved AS-, ZZ ]
AS268695 [ DIGITAL NET TELECOM, BR ]
AS268696 [ TUDDO INTERNET LTDA, BR ]
AS268697 [ I A TORRES PROVEDORES ME, BR ]
AS268698 [ CONNECTCEU TELECOM EIRELI, BR ]
AS268699 [ SOLPTEC TELECOM, BR ]
AS268700 [ Salatiel dos Santos Teles Informatica, BR ]
AS268701 [ ROCHA E MAGALHAES PROVEDOR DE INTERNET LTDA ME, BR ]
AS268702 [ Wynmax Telecom LTDA, BR ]
AS268703 [ M de J Nenues Moreira, BR ]
AS268704 [ Pernambuco Telecom, BR ]
AS268705 [ TURBONET.NETWORK LTDA, BR ]
AS268706 [ FLYFIBRA TELECOMUNICACOES LTDA, BR ]
AS268707 [ 4WNET ES TELECOMUNICACOES EIRELE ME, BR ]
AS268708 [ M A COMERCIO E SERVICO DE COMUNICACAO MULTIMIDIA, BR ]
AS268709 [ r de queiroz cia ltda, BR ]
AS268710 [ YES FIBRA TELECOMUNICACOES LTDA, BR ]
AS268711 [ ULTRACONECT COMUNICACAO LTDA, BR ]
AS268712 [ DIEGO RIBEIRO NEVES, BR ]
AS268713 [ BUTANO COMERCIO DE GAS LTDA EPP, BR ]
AS268714 [ MURILLO AQUISANER VIEIRA, BR ]
AS268715 [ N3 SOLUCOES TECNOLOGICAS LTDA, BR ]
AS268716 [ Associacao GigaCandanga, BR ]
AS268717 [ FIBER LINK, BR ]
AS268718 [ TOTAL NET PROVEDOR DE INTERNET LTDA, BR ]
AS268719 [ FMAX TELECOMUNICACOES LTDA, BR ]
AS268720 [ MegaNet Fibra Optica Cacu, BR ]
AS268721 [ FNT SERVICOS DE COMUNICACAO MULTIMIDIA LTDA - ME, BR ]
AS268722 [ T G L Servicos De Telecomunicacoes Eireli, BR ]
AS268723 [ MAFHNET EVOLUTIONS PROVEDOR DE INTERNET LTDA-ME, BR ]
AS268725 [ Planex Telecom, BR ]
AS268726 [ TOPNET SERVICOS DE TELECOMU E MULTIMIDIA EIRELI-ME, BR ]
AS268727 [ Tecnews.net Consultoria E Assessoria em Informatic, BR ]
AS268728 [ SETNET32 COMUNICACAO MULTIMIDIA EIRELI-ME, BR ]
AS268729 [ Wnett Fibra, BR ]
AS268730 [ M. Alves Paulino Telecom Me, BR ]
AS268731 [ e@sy Internet, BR ]
AS268732 [ CONECTA SERVICO DE COMUNICACAO MULTIMIDIA LTDA, BR ]
AS268733 [ MaetingaNET Informatica e Telecomunicacoes, BR ]
AS268734 [ VELLNET PROVEDORA DE INTERNET BB LTDA., BR ]
AS268735 [ MARCOS LUIZ DE ALMEIDA ME, BR ]
AS268736 [ Patricki A Felipe, BR ]
AS268737 [ CONECT TELECOM COMUNICACAO LTDA, BR ]
AS268738 [ M3 Net Fibra LTDA - ME, BR ]
AS268739 [ LINK NET WORLD SERVICO DE COMUNICACAO EI, BR ]
AS268740 [ Lexxion Provedor de Servicos de Internet LTDA - ME, BR ]
AS268741 [ RODRIGO OLIVEIRA DE SOUSA, BR ]
AS268742 [ DURVAL TELECOM LTDA, BR ]
AS268743 [ SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO, BR ]
AS268744 [ APESC - Associacao Pro-Ensino em Santa Cruz do Sul, BR ]
AS268745 [ EDP ENERGIAS DO BRASIL S.A., BR ]
AS268746 [ GEFSON CARLOS DA SILVA HONORATO, BR ]
AS268747 [ L C S WIFI LTDA, BR ]
AS268748 [ SKYNET TECNOLOGIA, BR ]
AS268749 [ cinthia cristina da silva, BR ]
AS268750 [ M. L. J. DANTAS - ME, BR ]
AS268751 [ IBV Telecom Ltda, BR ]
AS268753 [ Florestawii Telecom Servicos de Comunicacao LTDA M, BR ]
AS268754 [ FIBER GIGA PROVEDORES DE INTERNET LTDA, BR ]
AS268755 [ Stok Info Telecom Ltda-me, BR ]
AS268756 [ Hyperfibra Telecomunicacoes e Engenharia LTDA, BR ]
AS268757 [ BRITO &amp; GONCALVES LTDA ME, BR ]
AS268758 [ Prefeitura Municipal de Sapiranga, BR ]
AS268759 [ ALIMENTOS ZAELI LTDA, BR ]
AS268760 [ francisco alipio secundino andrade, BR ]
AS268761 [ NOWA TELECOM LTDA ME, BR ]
AS268762 [ TBK DA SILVA INTERNET - ME, BR ]
AS268763 [ GO FAST TELECOMUNICACOES LTDA., BR ]
AS268764 [ NetCaster Solutions, BR ]
AS268765 [ VINNI.NET TELECOM LTDA ME, BR ]
AS268766 [ INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA, BR ]
AS268767 [ Skyline Provedor de Internet LTDA ME, BR ]
AS268768 [ PAULO HENRIQUE BATISTA GIMENES - ME, BR ]
AS268769 [ WEB FIBRA SERGIPE TELECOMUNICACOES LTDA, BR ]
AS268770 [ SULIMARI SILVA SOARES -ME/PORTAL TIMON, BR ]
AS268771 [ BINARY NET TELECOMUNICACOES EIRELI, BR ]
AS268772 [ fast fiber connection, BR ]
AS268773 [ Lider Telecomunicacoes Eireli, BR ]
AS268774 [ K NET COMUNICACOES EIRELI, BR ]
AS268775 [ MY ZONE INTERNET, BR ]
AS268777 [ NETFAN INFORMATICA E INTERNET EIRELI - ME, BR ]
AS268778 [ MAYARA B G FERNANDES ME, BR ]
AS268779 [ DILMA BATISTA DA SILVA PIRES, BR ]
AS268781 [ SOS REDES TECNOLOGIA E INOVACAO LTDA., BR ]
AS268782 [ H-NET TELECOM LTDA, BR ]
AS268783 [ INTUIT BRASIL SERVICOS DE INFORMATICA LTDA., BR ]
AS268784 [ Multi Sistem Telecom LTDA ME, BR ]
AS268785 [ Vlink Telecom, BR ]
AS268786 [ L H FERREIRA ZOBY ME, BR ]
AS268787 [ SEU WIFI TELECOM LTDA, BR ]
AS268788 [ HEXA TELECOM LTDA, BR ]
AS268789 [ MUSTANET PROVEDOR DE INTERNET EIRELI, BR ]
AS268790 [ DEBORA ALINE ALMEIDA - ME, BR ]
AS268791 [ E C de CANO, BR ]
AS268792 [ FLASH NET.COM, BR ]
AS268793 [ Restarty Tech Internet, BR ]
AS268794 [ FINCH BRASIL SOLUCOES INTEGRADAS DE TECNOLOGIA LTD, BR ]
AS268795 [ TELECONSULT TELECOMUNICACOES EIRELI, BR ]
AS268796 [ D.A.S PROVEDOR DE INTERNET FIBRA OTICA E BANDA, BR ]
AS268797 [ SETE CONNECT TECNOLOGIA DA INFORMACAO, BR ]
AS268798 [ JG TELECOM, BR ]
AS268799 [ SITESURVEY - REDES &amp; INFORMATICA LTDA, BR ]
AS268800 [ micro line comercial ltda, BR ]
AS268801 [ REGINALDO FIRMO MARTINS JUNIOR, BR ]
AS268802 [ GOSPEL NET, BR ]
AS268803 [ JRB TELECOM LTDA, BR ]
AS268804 [ BRIDGENET LTDA ME, BR ]
AS268805 [ CS INFO TELECOM LTDA, BR ]
AS268806 [ Amil Assistencia Medica Internacional S.A, BR ]
AS268807 [ Caixa de Assistencia dos Funcionarios do BB CASSI, BR ]
AS268808 [ EASYNET SOLUCOES TECNOLOGICAS LTDA, BR ]
AS268809 [ EDILEUZA EVARISTO BARRETO, BR ]
AS268810 [ BAIANA NET TELECOM LTDA, BR ]
AS268811 [ GFA Telecomunicacoes LTDA, BR ]
AS268812 [ BATISTA E SANTOS LTDA, BR ]
AS268813 [ Freitas Sistema de Comunicacao Internet Eireli-ME, BR ]
AS268814 [ tsunami coite internet ltda, BR ]
AS268815 [ L &amp; R NET SERVICOS DE TELECOMUNICACOES LTDA - ME, BR ]
AS268816 [ TurboNet Luz, BR ]
AS268817 [ DECOLA TELECOM, BR ]
AS268818 [ Kobertura Telecom LTDA, BR ]
AS268819 [ Mimo Net Ltda, BR ]
AS268820 [ Nova Solucoes em Tecnologia, BR ]
AS268821 [ LINKSP SERVICO DE COMUNICACAO LTDA ME, BR ]
AS268822 [ VILA RESENDE TELECOMUNICACOES LTDA ME., BR ]
AS268823 [ Cleber Martins Barreto, BR ]
AS268824 [ CONNECTMAX TELECOM, BR ]
AS268825 [ JUSTICA FEDERAL DE PRIMEIRO GRAU EM ALAGOAS, BR ]
AS268826 [ i9DC Consultoria e Servicos de TI Ltda, BR ]
AS268827 [ MIKAEL M DA SILVEIRA, BR ]
AS268828 [ ONDANET TELECOM FIBRA OPTICA EIRELI, BR ]
AS268829 [ Rafael Leite, BR ]
AS268830 [ SYSMAP SOLUTIONS SOFTWARE E CONSULTORIA LTDA., BR ]
AS268831 [ M &amp; M telecomunicacoes e Multimidia, BR ]
AS268832 [ Arc - Plus Planejamento de Construcoes Ltda., BR ]
AS268833 [ GRUPO CONECT TELECOMUNICACOES LTDA, BR ]
AS268834 [ CARRARO TELECOM LTDA ME, BR ]
AS268835 [ SAO LUIZ INTERNET LTDA ME, BR ]
AS268836 [ sow telecomunicacoes ltda, BR ]
AS268837 [ J CAVALCANTE DE LIMA INFORMATICA - ME, BR ]
AS268838 [ CHARLES MARQUES - ME, BR ]
AS268839 [ Associacao Pro Ensino Superior em Novo Hamburgo, BR ]
AS268840 [ CAVALCANTE &amp; HERCULANO LTDA, BR ]
AS268841 [ INFINITY NET, BR ]
AS268842 [ Igape Telecomunicacoes LTDA, BR ]
AS268843 [ CDNTV TECNOLOGIA LTDA, BR ]
AS268844 [ DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS, BR ]
AS268845 [ Samir Mansur Rodrigues da Silva - ME, BR ]
AS268846 [ ETECH - TECNOLOGIA LTDA, BR ]
AS268847 [ Turbo Line Comunicacoes Ltda, BR ]
AS268848 [ ALL CONNECTIONS - SULRJ.COM LTDA, BR ]
AS268849 [ MUNICIPIO DE MARABA, BR ]
AS268850 [ Paris e Piva Sistemas Ltda - ME, BR ]
AS268851 [ FIBRATELL SOLUCOES EM TI &amp; TELECOM EIRELI, BR ]
AS268852 [ MULTICAST TELECOM LTDA, BR ]
AS268853 [ REALNET SERVICOS DE TELECOMUNICACOES LTDA ME, BR ]
AS268854 [ REDE ASA NET, BR ]
AS268855 [ FAST NET SERVICOS INFORMATIZADOS, BR ]
AS268856 [ GUMNET SERVICOS DE PROVEDOR DE INTERNET LTDA., BR ]
AS268858 [ NANDO NET FIBRA, BR ]
AS268859 [ INFORADIO SERVICOS DE COMUNICACAO MULTIMIDIA LTDA, BR ]
AS268860 [ 74JC INFORMATICA EIRELI - ME, BR ]
AS268861 [ Top Provedores de Internet &amp; Telecomunicacoes Ltda, BR ]
AS268862 [ China Mobile International (Brazil) Holdings, BR ]
AS268863 [ M &amp; G TELECON LTDA, BR ]
AS268864 [ NetSYS Internet, BR ]
AS268865 [ ASLX PROVEDOR DE INTERNET EIREL1, BR ]
AS268866 [ JettCom Internet Banda Larga, BR ]
AS268867 [ F. I. &amp; E. TELECOM LTDA ME, BR ]
AS268868 [ INTERSERV TELECOM - EIRELI, BR ]
AS268869 [ FIBRA PLUS TELECOMUNICACOES LTDA EPP, BR ]
AS268870 [ EXATA TECNOLOGIA DA INFORMACAO LTDA. - EPP, BR ]
AS268871 [ LOBINHO SERVICOS MULTIMIDIA LTDA ME, BR ]
AS268872 [ ELIAS F PINTO COMUNICACOES LTDA - ME, BR ]
AS268873 [ Luiza Maria de Souza Sindelar ME, BR ]
AS268874 [ IT Facilities, BR ]
AS268875 [ EDINEIA PINHO DOS ANJOS ME, BR ]
AS268876 [ Carlos Eduardo de Almeida Informatica - ME, BR ]
AS268877 [ conexman LTDA, BR ]
AS268878 [ LyraNet Telecom, BR ]
AS268879 [ RASAO SYGANET TELECOMUNICACOES LTDA, BR ]
AS268880 [ Maximus Net, BR ]
AS268881 [ NMULTIFIBRA TELECOMUNICACAO LTDA, BR ]
AS268882 [ Mais Rede Telecom, BR ]
AS268883 [ Infortec - Informatica &amp; Tecnologia Ltda - ME, BR ]
AS268884 [ TRIPLO A TELECOMUNICACOES EIRELI, BR ]
AS268885 [ KINET PROVEDOR DE INTERNET E SERVICOS DE TELECOM, BR ]
AS268886 [ WILLYNET PROVEDOR, BR ]
AS268887 [ DAVILSON DOS SANTOS CORREIA-ME, BR ]
AS268888 [ ACRF SERVICOS DE INFORMATICA LTDA - ME, BR ]
AS268889 [ JUSTICA FED DE PRIM INST SECAO JUD DO CEARA, BR ]
AS268890 [ RICARDO B. JUAN, BR ]
AS268891 [ Fibra Provedores de Internet Eireli, BR ]
AS268892 [ DBS TELECOM EIRELI - ME, BR ]
AS268893 [ OLIVEIRA &amp; SEIXAS INFORMATICA LTDA, BR ]
AS268894 [ DELFOS TELECOMUNICACOES LTDA, BR ]
AS268895 [ G5 LITORAL TELECOM SPE LTDA, BR ]
AS268896 [ IBR Informatica Ltda, BR ]
AS268897 [ SUPRI NET SERVICOS E COMERCIO LTDA - ME, BR ]
AS268898 [ FIBER GOLD TELECOMUNICACOES E SERVICO LTDA, BR ]
AS268899 [ Navegar Telecom, BR ]
AS268900 [ Reabra Tecnologia Para Administrao de Redes Ltda -, BR ]
AS268901 [ J G F DE OLIVEIRA - ME, BR ]
AS268902 [ DANIEL CARVALHO DE OLIVEIRA SILVA  ME, BR ]
AS268903 [ M A DE M VIDAL, BR ]
AS268904 [ Private Internet, BR ]
AS268905 [ CLODOALDO BELO DE OLIVEIRA, BR ]
AS268906 [ QSJ NET, BR ]
AS268907 [ ZAFEX TELECOMUNICACOES LTDA, BR ]
AS268908 [ HIPERTV SERVICOS DE COMUNICACAO MULTIMIDIA LTDA, BR ]
AS268909 [ ALAICOM TELECOM SERVICOS DE INTERNET LTDA, BR ]
AS268910 [ AGIL COMERCIAL DO BRASIL INF. E COM. LTDA, BR ]
AS268911 [ ESMILENE GOIS FRANCA - ME, BR ]
AS268912 [ Escorpiao Telecom comercio e servicos de internet, BR ]
AS268913 [ aranet telecom e cia Ltda, BR ]
AS268914 [ ERIQUELSON SILVA DE SOUTO - ME, BR ]
AS268915 [ PROVEDOR CLICNET, BR ]
AS268916 [ Inffotreini Provedores e Informatica LTDA - ME, BR ]
AS268917 [ N W INFORMATICA LTDA-ME, BR ]
AS268919 [ SHOW NET TELECOM EIRELI, BR ]
AS268920 [ Galera Nerd LTDA - ME, BR ]
AS268921 [ IDEAL SOLUCOES TECNOLOGICAS LTDA ME, BR ]
AS268922 [ MAXUEL QUERINO DA SILVA - ME, BR ]
AS268923 [ L&amp;R Digital Internet LTDA, BR ]
AS268924 [ MELOLINK INTERNET FIBRA OPTICA, BR ]
AS268925 [ TELLCORP - TELECOMUNICACOES CORPORATIVAS LTDA, BR ]
AS268926 [ JACTOS INTERNET, BR ]
AS268927 [ HR processamentos de dados ltda, BR ]
AS268928 [ Manoel da Silva Pinto Filho, BR ]
AS268929 [ MICRONET TELECOMUNICACOES - EIRELI, BR ]
AS268930 [ Ilhas Net LTDA - ME, BR ]
AS268931 [ 8G Telecom LTDA, BR ]
AS268932 [ Facenet Ribeiro Linhares Ltda, BR ]
AS268933 [ PRIMETEC PRESTADORA DE SERVICOS LTDA - ME, BR ]
AS268934 [ Placido e Siqueira Som e Imagem LTDA-ME, BR ]
AS268935 [ VibeNet Telecom, BR ]
AS268936 [ MAXIMUS INFORMATICA LTDA ME, BR ]
AS268937 [ Connect Suporte, BR ]
AS268938 [ MURILO RODRIGO VENTURINI ME, BR ]
AS268939 [ CIDADE SONHO TELECOM EIRELI - EPP, BR ]
AS268940 [ Kayros Link, BR ]
AS268941 [ PAGSEGURO INTERNET S.A., BR ]
AS268942 [ G. PEREIRA NORONHA - ME, BR ]
AS268943 [ Veloxnet Internet de Alta Velocidade LTDA - M.E, BR ]
AS268944 [ Martins &amp; Martins Telecom LTDA ME, BR ]
AS268945 [ Boa vista Net Ltda - me, BR ]
AS268946 [ SMNET TELECOMUNICACOES, BR ]
AS268947 [ ALTANET SERVICOS DE TELECOMUNICACOES EIRELI, BR ]
AS268948 [ 2B BANDA LARGA, BR ]
AS268949 [ S M Telecom.Net Ltda, BR ]
AS268950 [ celso &amp; francimar LTDA, BR ]
AS268951 [ F5 INFORMATICA COMERCIO DE PRODUTOS ELETRONICOS LT, BR ]
AS268952 [ MZ NET FIBRA, BR ]
AS268953 [ G6 Telecom, BR ]
AS268954 [ MARAU NET TECNOLOGIA LTDA, BR ]
AS268955 [ FLY NET SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA, BR ]
AS268956 [ ESPECIALNET TELECOM LTDA, BR ]
AS268957 [ MARCIO RODRIGO FREDERICO RODRIGUES - ME, BR ]
AS268958 [ Mercadomoveis Ltda, BR ]
AS268959 [ INOVANET EMPREENDIMENTOS LTDA, BR ]
AS268960 [ STARLINE SERVICOS DE INTERNET - ME, BR ]
AS268961 [ ACONE ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA, BR ]
AS268962 [ CONNECT TELECOMUNICACOES E INTERNET LTDA, BR ]
AS268963 [ iderson rafael pereira da silva, BR ]
AS268964 [ Jeferson Fagundes, BR ]
AS268965 [ JEANCARLO CARDOSO SERVICOS, BR ]
AS268966 [ i9 Master - Consultoria Tecnologicas &amp; Telecom, BR ]
AS268967 [ Sidney F Pires ME, BR ]
AS268968 [ VELOZONE TELECOM EIRELI, BR ]
AS268969 [ ariele kethilin j silva - me, BR ]
AS268970 [ EXPERT INTERNET LTDA, BR ]
AS268971 [ BETEL TELECOMUNICACOES LTDA, BR ]
AS268972 [ ERBCOM TELECOMUNICACOES EIRELI - ME, BR ]
AS268973 [ CARVALHOS SERVICOS DE INFORMATICA LTDA - ME, BR ]
AS268974 [ LUXTEL TELECOM - PI, BR ]
AS268975 [ GLOBAL TELECOM SERVICOS DE COMUNICACAO E MULTIMIDI, BR ]
AS268976 [ P16 Telecom, BR ]
AS268977 [ CEPAIN C2 TELECOM, BR ]
AS268978 [ LINK NET TELECOMUNICACOES LTDA, BR ]
AS268979 [ Edvaldo de J.Silva-ME, BR ]
AS268980 [ NOXY S.A, BR ]
AS268981 [ REDEFIBER TELECOMUNICACOES EIRELI - ME, BR ]
AS268982 [ WENET TELECOM LTDA, BR ]
AS268983 [ NAXOS TELECOM, BR ]
AS268984 [ RSV TELECOMUNICACOES LTDA - ME, BR ]
AS268985 [ VEM PRA UNO PROVEDOR DE INTERNET LTDA, BR ]
AS268986 [ NET LUZ PROVEDOR E SERVICOS LTDA ME, BR ]
AS268987 [ NETLIMIT TELECOM, BR ]
AS268988 [ MULTINET TELECOM LTDA, BR ]
AS268989 [ MULTTV CONSULTORIA E LOCACOES DE EQUIPAMENTOS S.A., BR ]
AS268990 [ Inforfelixnet Telecomunicacoes Ltda ME, BR ]
AS268991 [ Lima e Carvalho Ltda, BR ]
AS268992 [ IDF Informatica LTDA ME, BR ]
AS268993 [ HOLZ E PINHEIRO PROVEDOR DE INTERNET LTD, BR ]
AS268994 [ FIBERFOX SERVICOS DE TELECOMUNICACOES, BR ]
AS268995 [ GTRON TELECOM EIRELI, BR ]
AS268996 [ BRUNO LEONARDO BASSANI BLB INFORMATICA ME, BR ]
AS268997 [ FIBRAX TELECOMUNICACOES E INTERNET LTDA, BR ]
AS268998 [ WINFORBYTE TELECOM, BR ]
AS268999 [ Fronteira Internet, BR ]
AS269000 [ JG TELECOM COM. E SERVS. LTDA, BR ]
AS269001 [ ATM TELECOM LTDA, BR ]
AS269002 [ COMCAST SERVICOS DE COMUNICACAO LTDA, BR ]
AS269003 [ NILCIANE ALMEIDA DA SILVA, BR ]
AS269004 [ MORE SPEED INFORMATICA E TELECOM LTDA, BR ]
AS269005 [ PNET TELECOM, BR ]
AS269006 [ CRISTIAN MARY HILGEMBERG BUENO - ME, BR ]
AS269007 [ MATTOS EQUIPAMENTOS ELETRONICOS, BR ]
AS269008 [ ANDRE HACKBARTH, BR ]
AS269009 [ VELOX TELECOM, BR ]
AS269010 [ JNET RN TELECOM, BR ]
AS269011 [ NOX INFORMATICA EIRELI - ME, BR ]
AS269012 [ CLICK NET LINK INFORMATICA E TELECOMUNICACOES LTDA, BR ]
AS269013 [ TSNET TELECOM, BR ]
AS269014 [ VIVEZA TELECOM, BR ]
AS269015 [ Ping Provedor, BR ]
AS269016 [ F T L Net Provedor de Internet Ltda- ME, BR ]
AS269017 [ GTV Internet, BR ]
AS269018 [ FIBER NET LTDA - ME, BR ]
AS269019 [ ERICK ANDRE MOREIRA ME (BRASNET), BR ]
AS269020 [ A B FARIAS SERVICOS DE COMUNICACAO, BR ]
AS269021 [ J.R.DA SILVA TELECOM -ME, BR ]
AS269022 [ Vania Carneiro Silva Batista Santos, BR ]
AS269023 [ FIBRA PURA TELECOM LTDA, BR ]
AS269024 [ marizete da silveira ferreira me, BR ]
AS269025 [ GmaX Telecomunicacao, BR ]
AS269026 [ FOX SOLUCOES TELECOM, BR ]
AS269027 [ TIVIA SOLUCOES INTELIGENTES, BR ]
AS269028 [ L 2 COMERCIO E SERVICOS DE INFORMATICA LTDA ME, BR ]
AS269029 [ ARANET COMUNICACAO LTDA - ME, BR ]
AS269030 [ TOPSAPP SOLUCOES EM TELECOMUNICACOES E REDES AVANC, BR ]
AS269031 [ LIKE PROVEDOR DE INTERNET LTDA, BR ]
AS269032 [ Jose Marques de Abreu Junior Me, BR ]
AS269033 [ Extremnet Telecomunicacoes LTDA ME, BR ]
AS269034 [ NOBRE NETWORK, BR ]
AS269035 [ David Martins Ferreira Telecomunicacao - ME, BR ]
AS269036 [ ATEX NET TELECOMUNICACOES LTDA, BR ]
AS269037 [ L2M TELECOMUNICACOES EIRELI, BR ]
AS269038 [ K R P CONSULTORIA EM TECNOLOGIA DE INFORMACAO LTDA, BR ]
AS269039 [ DENISE DE OLIVEIRA SILVA, BR ]
AS269040 [ C M A COSTA PROVEDOR - ME, BR ]
AS269041 [ MJB &amp; TJS COM. E SERVICOS DE INFORMATICA LTDA, BR ]
AS269042 [ SPEEDY PAUL TELECOM, BR ]
AS269043 [ MTWNET SERVICOS DE COMUNICACAO MULTIMIDIA LTDA, BR ]
AS269044 [ Thunder Tecnologia Ltda - ME, BR ]
AS269045 [ JUSTICA FEDERAL NO RIO GRANDE DO NORTE, BR ]
AS269046 [ First Telecom LTDA, BR ]
AS269047 [ DATA CENTER LINNKE TELECOMUNICACOES LTDA - EPP, BR ]
AS269048 [ MAN WEB HOSTING LTDA, BR ]
AS269049 [ ULTRAFIBRA COMERCIO E SERVICO LTDA, BR ]
AS269050 [ JOAO ROGERIO LEONARDO EIRELIME, BR ]
AS269051 [ FRX TELECOMUNICACOES, BR ]
AS269052 [ TUPY S/A, BR ]
AS269053 [ 3WACCES ME, BR ]
AS269054 [ Joao Marcos e Mauricio Borges Ltda, BR ]
AS269055 [ Otacilio Gomes De Morais EIRELI, BR ]
AS269056 [ LNK Telecom, BR ]
AS269057 [ QUEVEDO &amp; PARIS LTDA, BR ]
AS269058 [ DOUGLAS RIBEIRO DE OLIVEIRA 10789492636, BR ]
AS269059 [ ADEMIR DE PAULA COMUNICACOES, BR ]
AS269060 [ CLICK CONNECT TELECOM LTDA, BR ]
AS269061 [ MARIA ONEIDE DA SILVA - ME, BR ]
AS269062 [ Next telecom, BR ]
AS269063 [ ELIVELTON PEREIRA DA SILVA, BR ]
AS269064 [ MULTICOM - PROVEDORES DE ACESSO AS REDES DE COMUNI, BR ]
AS269065 [ T. L DA SILVA - REDE MEGANET TELECOM LTDA, BR ]
AS269066 [ ALIANCANET TELECOM, BR ]
AS269067 [ RV - TELECOM LTDA ME, BR ]
AS269068 [ Plus Networks, BR ]
AS269069 [ ADRIANO LENZ COMERCIO DE PRODUTOS INFORMATICA ME, BR ]
AS269070 [ Hostzone Tecnologia LTDA, BR ]
AS269071 [ PEDRO IVO SAVARIS &amp; CIA. LTDA - ME, BR ]
AS269072 [ Meganet Internet Banda Larga LTDA, BR ]
AS269073 [ NipTelecom Telecomunicacoes LTDA, BR ]
AS269074 [ PortallNet Telecom, BR ]
AS269075 [ GO-NET TELECOM, BR ]
AS269076 [ L DA COSTA SILVA COMUNICACOES, BR ]
AS269077 [ VISION TELECOM SERVICOS DE COMUNICACAO MULTIMIDIA, BR ]
AS269078 [ SETEC.NET SERVICOS DE INFORMATICA E COMUNICACAO LT, BR ]
AS269079 [ SUPERNETMAIS TELECOMUNICACOES EIRELI, BR ]
AS269080 [ AFIBRA TELECOM LTDA - ME, BR ]
AS269081 [ TRL Telecomunicacoes Ltda, BR ]
AS269082 [ Fonseca Telecomunicacoes ME, BR ]
AS269083 [ WORLD NET TELECOMUNICACOES EIRELI - ME, BR ]
AS269084 [ Global Tech Telecom Ltda - ME, BR ]
AS269085 [ JEFERSON BEZERRA DOS SANTOS MANUTENCAO DE COMPUTAD, BR ]
AS269086 [ Assembleia Legislativa do Estado do RS, BR ]
AS269087 [ netcabo servicos de comunicacao, BR ]
AS269088 [ ESM NET INFORMATICA, BR ]
AS269089 [ Hilan Telecom Ltda, BR ]
AS269090 [ C P COMUNICACAO LTDA, BR ]
AS269091 [ MADANET TELECOM LTDA - ME, BR ]
AS269092 [ JPNET SERVICOS DE INFORMATICA E TELECOMUNICACOES L, BR ]
AS269093 [ FAROLNET INTERNET FIBRA OPTICA - EIRELI, BR ]
AS269094 [ LIG10 TELECOMUNICACOES EIRELI, BR ]
AS269096 [ NORTH TELECOMUNICACOES EIRELI, BR ]
AS269097 [ CYBERNET LTDA, BR ]
AS269098 [ AbsamHost Internet Data Center, BR ]
AS269099 [ AJOTEL TECNOLOGIA EIRELI, BR ]
AS269100 [ M L DE ASSIS ALMEIDA E ALMEIDA LTDA, BR ]
AS269101 [ Pottencial Seguradora S/A, BR ]
AS269102 [ balbino e serv com ltda, BR ]
AS269103 [ CENTRO DE NEGOCIOS CONTEMPORANEO LTDA, BR ]
AS269104 [ TIX TELECOMUNICACOES LTDA, BR ]
AS269105 [ R e R Andrade Eireli, BR ]
AS269106 [ PREFEITURA DO MUNICIPIO DE CUJUBIM, BR ]
AS269107 [ J L TELECOMUNICACAO E MULTIMIDIA COMERCIO E SERVIC, BR ]
AS269108 [ UNT TELECOM, BR ]
AS269109 [ MARKTEC TELECOM, BR ]
AS269110 [ EXPRESS INFORMATICA, BR ]
AS269111 [ Netlink Provedor, BR ]
AS269112 [ OPEN NET FIBRA PROVEDOR DE INTERNET EIRELI, BR ]
AS269113 [ UNO TELECOM LTDA, BR ]
AS269114 [ NRConnect Internet, BR ]
AS269115 [ TELECOM PROVEDORES E REDES DE COMUNICACAO, BR ]
AS269116 [ JS TELECOMUNICACOES EIRELI, BR ]
AS269117 [ EDER ALCANTARA PINHEIRO, BR ]
AS269118 [ GTN-TELECOM INTERNET LTDA-ME, BR ]
AS269119 [ Paulo Xavier Braga Andrade, BR ]
AS269120 [ DANIEL DE LIMA SILVA 02698800461, BR ]
AS269121 [ VG WEB INTERNET E TELECOM LTDA - ME, BR ]
AS269122 [ A C DA S GOMES &amp; CIA LTDA - EPP, BR ]
AS269123 [ NETFUTURO LTDA - ME, BR ]
AS269124 [ JRNET TELECOM, BR ]
AS269125 [ Netgaucha Servicos de Internet Eireli - ME, BR ]
AS269126 [ Net Onne - Comercio e Servico de Informatica, BR ]
AS269127 [ LAIZA S. L. DE ALMEIDA ME, BR ]
AS269128 [ Leilane de Vasconcelos Pereira, BR ]
AS269129 [ ClickTek Telecom, BR ]
AS269130 [ UPNet Fibra - SUSANE DOS SANTOS ZACARIN ME, BR ]
AS269131 [ LK Maia Telecon LTDA-ME, BR ]
AS269132 [ Ministerio Publico do Estado do Espirito Santo, BR ]
AS269133 [ Fundacao Regional Integrada - Campus Santo Angelo, BR ]
AS269134 [ 2RNET PROVEDOR DE INTERNET, BR ]
AS269135 [ INGNET PROVEDOR DE INTERNET EIRELI, BR ]
AS269136 [ Andre L. Azariti &amp; Cia LTDA, BR ]
AS269137 [ PNTI - Ponto Net Tecnologia em internet, BR ]
AS269138 [ MOV TELECOM SERVICOS DE PROVEDORES DE INTERNET LTD, BR ]
